"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Kazald1","Group_safe",0.521049506029356,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.08732350140314,0.12078123607322
"Kbtbd11","Group_safe",0.933240055589536,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.01360889630519,0.0195010919819055
"Kbtbd12","Group_safe",0.638419196972546,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.912317948996953,-0.132391393851247
"Kbtbd13","Group_safe",0.417520901024086,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.61854992957761,-0.693038040111485
"Kbtbd2","Group_safe",0.748609665270867,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.983922340150125,-0.0233836450766551
"Kbtbd3","Group_safe",0.628977262807457,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.948807624918725,-0.0758124910023607
"Kbtbd4","Group_safe",0.24262631503568,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.05404367894639,0.0759346526427526
"Kbtbd6","Group_safe",0.413873901719479,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.815457247030889,-0.294318853895469
"Kbtbd7","Group_safe",0.343280652940543,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.887621402991256,-0.171983639590984
"Kbtbd8","Group_safe",0.0727377541831001,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.671352383274252,-0.57485787964255
"Kcmf1","Group_safe",0.894815775138267,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.995043225913959,-0.00716889540479434
"Kcna4","Group_safe",0.443703557250999,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.800228836447852,-0.321515477387637
"Kcna7","Group_safe",0.140067821983556,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.727977113347544,-0.458035000203808
"Kcnab1","Group_safe",0.820292678178605,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.03592183139239,0.050915144224007
"Kcnab2","Group_safe",0.468434364017047,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.10705669034823,0.146729101785354
"Kcnab3","Group_safe",0.0524220295721195,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.21321131485218,0.278830858238751
"Kcnb1","Group_safe",0.35734351307431,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.889171139342055,-0.169466972662602
"Kcnc1","Group_safe",0.581755497111561,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.886728774561864,-0.173435202798035
"Kcnc2","Group_safe",0.416564447637113,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.909143951766126,-0.13741934936063
"Kcnc3","Group_safe",0.421598908806441,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.727720579219998,-0.458543485611666
