"dimension_coordinate.primary","dimension_coordinate.PC1","dimension_coordinate.PC2","dimension_coordinate.PC3","dimension_axis"
"K_XYL_F_0028_01",-0.0160408742490266,-0.00153572647085941,-0.00271123451517614,24.86
"K_XYL_F_0028_02",-0.0170855290912372,-0.00559144947918941,-0.000932282819289353,44.02
"K_XYL_F_0030_02",-0.0136937368399391,-0.00625582390499107,-0.0119519015816422,31.12
"K_XYL_F_0030_03",-0.0110112997183489,-0.00289385880961288,-0.0021381281550659,24.86
"K_XYL_F_0033_01",-0.0399710361778592,-0.108338802027878,-0.0478320027882129,44.02
"K_XYL_F_0033_02",-0.0586390714808959,-0.18481345610167,-0.0598961912887823,31.12
"K_XYL_F_0035_01",-0.00827825509474302,-0.00825700432229885,-0.015609783813584,24.86
"K_XYL_F_0035_02",-0.0126326877330066,-0.00742468203180342,-0.0123651197664298,44.02
"K_XYL_F_0035_03",-0.010793636361603,0.000625776774982986,-0.00720762992225545,31.12
"K_XYL_F_0036_01",-0.0278951530435711,-0.00632618317513115,-0.00984175927601517,24.86
"K_XYL_F_0036_02",-0.027547223325861,-0.0879860768118726,0.00424266903312095,44.02
"K_XYL_F_0037_01",-0.0193946916335441,-0.025634101300346,-0.255155003756461,31.12
"K_XYL_F_0037_02",-0.0177758311866183,-0.0313702577449691,-0.283937904330313,24.86
"K_XYL_F_0038_01",-0.102944976316366,-0.127810291475285,0.0322576812161343,44.02
"K_XYL_F_0038_02",-0.120934648099952,-0.360122329558153,0.0716395251856061,31.12
"K_XYL_F_0039_01",-0.0176831063120021,-0.00097573070586056,-0.0094668402567234,24.86
"K_XYL_F_0039_02",-0.16442885727323,0.0708025768505186,0.0143846771625273,44.02
"K_XYL_F_0042_01",-0.0192490296045225,-0.0166993903681762,-0.139028700201272,31.12
"K_XYL_F_0042_02",-0.0199691639508426,-0.0339619852825253,-0.162191256909619,24.86
"K_XYL_F_0043_01",-0.055894547571458,-0.153319401763338,0.0261725576616553,44.02
"K_XYL_F_0043_02",-0.0903090027666697,-0.319129360085538,0.0627741539942125,31.12
"K_XYL_F_0044_01",-0.0560562226028147,-0.161703067063308,0.0280573953189376,24.86
"K_XYL_F_0044_02",-0.0622793248382976,-0.193629936582182,0.0312894937521329,44.02
"K_XYL_F_0045_01",-0.0368014386420702,-0.00231735719810386,-0.112553276549011,31.12
"K_XYL_F_0045_02",-0.0726080315480861,-0.17724588818573,0.0282525592264825,24.86
"K_XYL_F_0046_01",-0.0344403691553507,-0.00115941176862735,-0.119115255052629,44.02
"K_XYL_F_0046_02",-0.0848547281202685,-0.190650027110676,0.0354486362135016,31.12
"K_XYL_F_0047_01",-0.0134694537937414,-0.00557294593427945,-0.020950886977751,24.86
"K_XYL_F_0047_02",-0.0139596348005617,-0.00124831342915871,-0.0168081622557208,44.02
"K_XYL_F_0048_01",-0.0179264617176389,-0.0204054431951901,-0.0782371011440857,31.12
"K_XYL_F_0048_02",-0.00865739478040808,-0.000477419742980751,-0.00630876522848444,24.86
